city,white,white,black,black,hispanic,hispanic,asian,other,household,institutionalized,correctional,juvenile,nursing,other_institutional,noninstitutionalized,college,military,other_noninstitutional,occupied,vacant,household_size
Allston,14634,14022,1451,1294,3657,3071,7173,1706,25231,26,0,0,26,0,3364,3214,0,150,11740,787,2.149148211
Back Bay,14056,13296,718,669,1326,1205,2604,884,17618,269,0,0,269,0,1701,1578,0,123,10788,1585,1.633110864
Beacon Hill,7521,6980,252,231,537,475,630,396,9303,0,0,0,0,0,33,0,0,33,5485,552,1.696080219
Brighton,30596,28706,2289,1966,4978,4043,7801,2666,44308,309,0,13,240,56,3713,3493,0,220,20822,1052,2.1279416
Charlestown,13626,11689,990,662,2075,1387,1650,779,19010,55,0,0,55,0,55,0,30,25,8932,593,2.128302732
Chinatown,1898,1790,297,254,477,412,4281,190,6462,224,0,0,224,0,457,443,0,14,3299,345,1.958775386
Dorchester,27411,24327,42714,32678,25285,17390,13360,13421,120678,577,0,286,291,0,936,0,0,936,44823,3142,2.692323138
Downtown,9174,8764,537,529,961,877,2286,493,9238,97,0,0,97,0,4116,3283,0,833,5401,1253,1.710423996
East Boston,15760,14039,1403,1136,21700,16256,1932,2271,42813,144,0,12,132,0,109,0,0,109,16695,1321,2.564420485
Fenway,20456,20099,2396,2281,3643,3425,9218,2020,21013,314,53,0,261,0,16406,16197,0,209,12661,1307,1.659663534
Hyde Park,7449,6494,15171,12229,7901,5859,677,1811,32808,67,0,0,67,0,134,64,0,70,12066,547,2.719045251
Jamaica Plain,22032,19642,4686,3848,8921,6984,2985,2388,39954,529,0,90,319,120,529,160,0,369,17724,1167,2.25423155
Longwood,2573,2555,334,304,381,347,657,151,800,0,0,0,0,0,3296,3296,0,0,425,31,1.882352941
Mattapan,1489,1332,16277,12951,4079,2730,490,1499,23486,246,86,75,85,0,102,0,0,102,8821,525,2.66250992
Mission Hill,6950,6661,2469,1984,3397,2639,4228,842,16103,116,0,4,112,0,1667,1502,0,165,6820,319,2.361143695
North End,9306,8888,141,132,528,445,445,385,10616,41,0,0,41,0,148,0,116,32,6314,518,1.681343047
Roslindale,13428,11486,6045,4740,7373,5508,1018,1522,28882,447,0,9,438,0,57,0,0,57,11534,580,2.504074909
Roxbury,7182,6661,22796,18023,16728,12015,3277,4922,50340,943,742,160,0,41,3622,2520,0,1102,20345,1689,2.474318014
South Boston,29139,26930,1529,1084,3887,2799,2077,1285,37548,244,0,56,188,0,125,0,0,125,17961,1179,2.090529481
South Boston Waterfront,4315,4171,160,138,316,270,482,306,5578,0,0,0,0,0,1,0,0,1,3624,998,1.539183223
South End,16618,15203,2959,2454,3783,2993,4677,1336,28667,45,0,0,0,45,661,0,0,661,15253,1366,1.879433554
West End,4933,4620,338,303,613,531,1440,381,7561,91,34,0,0,57,53,0,0,53,4572,671,1.65376203
West Roxbury,20918,17676,3312,2399,3567,2546,2451,1313,31056,412,0,0,412,0,93,0,0,93,13390,680,2.319342793
